Legend,Neighborho,Geometry,Latitude (generated),Longitude (generated),Median Sale Price,Number of transactions
$10M<,"Malibu Road, Malibu Colony Beach",Polygon,34.031913681,-118.707191786,"$10,650,000",8
$10M<,Beverly Hills Gateway,Polygon,34.092866399,-118.410102407,"$10,050,000",18
$5M-$10M,Serra Retreat,Polygon,34.041210258,-118.679757288,"$5,475,000",5
$5M-$10M,Beverly Hills Flats,Polygon,34.078675416,-118.412740932,"$7,450,000",24
$5M-$10M,Trousdale,Polygon,34.102484244,-118.395982066,"$8,535,000",9
$3M-$5M,North of Montana,Polygon,34.032833721,-118.506391422,"$3,869,000",50
$3M-$5M,Broad Beach,Polygon,34.037694603,-118.861556680,"$3,200,000",16
$3M-$5M,Las Flores Beach,Polygon,34.040804149,-118.631615279,"$3,137,000",5
$3M-$5M,La Costa,Polygon,34.040991509,-118.644773648,"$3,412,500",10
$3M-$5M,Carbon Beach,Polygon,34.041765452,-118.667851320,"$4,000,000",5
$2M-$3M,Mira Costa,Polygon,33.877806178,-118.385435038,"$2,052,500",38
$2M-$3M,Hill Section,Polygon,33.881416367,-118.402162210,"$2,600,000",19
$2M-$3M,Sand Section,Polygon,33.888366554,-118.410331335,"$2,994,500",58
$2M-$3M,Tree Section,Polygon,33.896589376,-118.405773374,"$2,400,000",67
$2M-$3M,Point Dume,Polygon,34.009081210,-118.802206398,"$2,750,000",17
$2M-$3M,Malibu Park,Polygon,34.029490675,-118.826298338,"$2,882,500",12
$2M-$3M,Big Rock Mesa,Polygon,34.040069763,-118.617784023,"$2,800,000",9
$2M-$3M,Cheviot Hills,Polygon,34.040684809,-118.407824829,"$2,105,000",53
$2M-$3M,Topanga Beach,Polygon,34.042424565,-118.575644734,"$2,360,000",15
$2M-$3M,Pacific Palisades,Polygon,34.064707632,-118.537052856,"$2,995,000",189
$2M-$3M,Windsor Square,Polygon,34.069481478,-118.317981152,"$2,350,000",36
$2M-$3M,Brentwood,Polygon,34.090156136,-118.495691532,"$2,276,000",228
$2M-$3M,Bel Air,Polygon,34.100178262,-118.455892417,"$2,888,500",63
$2M-$3M,Beverly Crest,Polygon,34.108067140,-118.417842567,"$2,300,000",119
$2M-$3M,Hollywood Hills West,Polygon,34.114019880,-118.370280863,"$2,000,000",199
