,neighbourhood_cleansed,crime_rate
0,Santa Monica,725
1,Redondo Beach,237
2,Torrance,193
3,Venice,725
4,Highland Park,113
5,Van Nuys,182
6,Culver City,464
7,Malibu,344
8,Hollywood,791
9,Beverly Hills,301
10,Encino,301
11,Long Beach,506
12,Topanga,146
13,Pacific Palisades,725
14,Inglewood,613
15,Sherman Oaks,301
16,Woodland Hills,53
17,Playa del Rey,490
18,Reseda,53
19,North Hollywood,182
20,Manhattan Beach,155
21,Ladera Heights,464
22,Northridge,325
23,Hawthorne,728
24,Canoga Park,53
25,Sun Valley,182
26,Lawndale,382
27,Tarzana,325
28,Sylmar,325
29,Del Aire,728
30,Winnetka,53
31,Granada Hills,325
32,North Hills,325
33,West Hills,53
34,Panorama City,325
35,Arleta,325
36,Pacoima,325
37,Lake View Terrace,325
