,id,reviews_per_month,demand,price,longitude,latitude,bedrooms,beds,room_type,amenities,property_type,review_scores_rating,calculated_host_listings_count,accommodates,annual_return,price_per_bedroom
0,9376,0.34,0.21666666666666667,85.0,-118.47734,33.99638,1.0,1.0,Private room,"[""Stove"", ""Cooking basics"", ""Bathtub"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Iron"", ""Oven"", ""Heating"", ""Hair dryer"", ""Long term stays allowed"", ""Hot water"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Host greets you"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Wifi"", ""Free street parking""]",Private room in apartment,95.0,2,1,0.25441953708766174,85.0
1,10760,0.33,0.30833333333333335,74.0,-118.35641,34.05437,1.0,2.0,Private room,"[""Stove"", ""Dryer"", ""Lockbox"", ""Luggage dropoff allowed"", ""Cooking basics"", ""First aid kit"", ""Kitchen"", ""Hangers"", ""Single level home"", ""Essentials"", ""Iron"", ""Oven"", ""Heating"", ""Washer"", ""Hair dryer"", ""Long term stays allowed"", ""Dedicated workspace"", ""TV"", ""Coffee maker"", ""Free parking on premises"", ""Smoke alarm"", ""Breakfast"", ""Refrigerator"", ""Microwave"", ""Air conditioning"", ""Shampoo"", ""Dishes and silverware"", ""Dishwasher"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Wifi"", ""Cable TV""]",Private room in apartment,99.0,1,2,0.28795334426827046,74.0
2,11374,0.32,0.08333333333333334,86.75,-118.29128,33.90442,1.0,0.0,Private room,"[""Dryer"", ""Pool"", ""Building staff"", ""Hangers"", ""Essentials"", ""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Garden or backyard"", ""Hot water"", ""Lock on bedroom door"", ""Dedicated workspace"", ""TV"", ""Free parking on premises"", ""Smoke alarm"", ""Microwave"", ""Air conditioning"", ""Shampoo"", ""Fire extinguisher"", ""Private entrance"", ""Wifi"", ""Cable TV""]",Room in hotel,90.0,7,2,0.16165482048478222,86.75
3,13776,1.28,0.65,169.5,-118.38522,33.83847,1.0,1.0,Entire home/apt,"[""Pack \u2019n Play/travel crib"", ""Stove"", ""Cooking basics"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Iron"", ""Oven"", ""Heating"", ""Hair dryer"", ""Garden or backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""Hot water"", ""Dedicated workspace"", ""TV"", ""Coffee maker"", ""BBQ grill"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Host greets you"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Wifi"", ""Free street parking""]",Entire guesthouse,97.0,4,4,0.7286313103699654,169.5
4,14124,1.24,0.7166666666666668,171.25,-118.3871,33.83984,1.0,1.0,Entire home/apt,"[""Pack \u2019n Play/travel crib"", ""Stove"", ""Bed linens"", ""Cooking basics"", ""Kitchen"", ""Hangers"", ""Extra pillows and blankets"", ""Essentials"", ""Iron"", ""Oven"", ""Heating"", ""Hair dryer"", ""Garden or backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""Hot water"", ""Dedicated workspace"", ""TV"", ""Coffee maker"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Host greets you"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Private entrance"", ""Wifi"", ""Cable TV"", ""Free street parking""]",Entire bungalow,96.0,4,4,0.7645343539274649,171.25
5,15089,0.47,0.7749999999999999,138.0,-118.3522,34.04244,1.0,1.0,Entire home/apt,"[""Stove"", ""Bed linens"", ""Pocket wifi"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Kitchen"", ""Hangers"", ""Extra pillows and blankets"", ""Single level home"", ""Essentials"", ""Iron"", ""Oven"", ""Heating"", ""Garden or backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""Hot water"", ""Dedicated workspace"", ""Keypad"", ""TV"", ""Smoke alarm"", ""Refrigerator"", ""Microwave"", ""Shampoo"", ""Dishes and silverware"", ""Dishwasher"", ""Carbon monoxide alarm"", ""Wifi"", ""Cleaning before checkout"", ""Cable TV"", ""Free street parking""]",Entire bungalow,95.0,3,2,0.7175141242937854,138.0
6,15333,0.07,0.3416666666666667,452.25,-118.41118,34.16701,2.0,5.0,Private room,"[""Dryer"", ""Bed linens"", ""Pool"", ""Pocket wifi"", ""Kitchen"", ""Hangers"", ""Extra pillows and blankets"", ""Essentials"", ""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Long term stays allowed"", ""Hot water"", ""Dedicated workspace"", ""TV"", ""Free parking on premises"", ""Smoke alarm"", ""Air conditioning"", ""Shampoo"", ""Indoor fireplace"", ""Host greets you"", ""Fire extinguisher"", ""Private entrance"", ""Wifi"", ""Hot tub"", ""Cable TV""]",Private room in island,100.0,2,6,0.8288682340076544,226.125
7,19887,1.88,0.0,75.0,-118.28474,34.08517,1.0,1.0,Private room,"[""Heating"", ""Hair dryer"", ""Air conditioning"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""Kitchen"", ""Hangers"", ""Dishes and silverware"", ""Wifi"", ""Essentials"", ""Iron"", ""Lockbox"", ""Free street parking""]",Private room in house,97.0,2,2,0.04574448696919993,75.0
8,23710,2.09,0.8500000000000001,156.0,-118.19038,34.12003,1.0,1.0,Entire home/apt,"[""Heating"", ""Bedroom comforts"", ""Washer"", ""Hair dryer"", ""Air conditioning"", ""Garden or backyard"", ""Full kitchen"", ""Dryer"", ""Self check-in"", ""Bathroom essentials"", ""TV"", ""Wifi"", ""Free parking on premises"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Fire extinguisher"", ""Iron"", ""Free street parking""]",Entire guest suite,98.0,1,2,0.7891379624567159,156.0
9,24030,2.06,0.09166666666666666,130.0,-118.47301,33.98798,1.0,1.0,Entire home/apt,"[""Stove"", ""Cooking basics"", ""First aid kit"", ""Kitchen"", ""Hangers"", ""Essentials"", ""Iron"", ""Oven"", ""Heating"", ""Hair dryer"", ""Garden or backyard"", ""Long term stays allowed"", ""Patio or balcony"", ""Hot water"", ""Dedicated workspace"", ""Smoke alarm"", ""Refrigerator"", ""Shampoo"", ""Host greets you"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Wifi"", ""Free street parking""]",Entire bungalow,97.0,1,2,0.20165846546382357,130.0
